20:27:17{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238038599, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23873.4, 'averagePrice': 23874.3, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'PARTIALLY_FILLED', 'orderLastFilledQuantity': 122443526989.0, 'commisionAsset': 'USDT', 'commision': 0.00954971, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:17{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238038599, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23873.4, 'averagePrice': 23874.3, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122443526989.0, 'commisionAsset': 'USDT', 'commision': 0.07639775, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:35{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238056717, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.02, 'originPrice': 23874.7, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122443590564.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:27:40{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238061914, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.02, 'originPrice': 23874.7, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'CANCELED', 'orderStatus': 'CANCELED', 'orderLastFilledQuantity': 122443590564.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:28:03{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238084694, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.02, 'originPrice': 23880.1, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122443687371.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:28:03{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677238084694, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'LIMIT', 'originQuantity': 0.02, 'originPrice': 23880.1, 'averagePrice': 23876.0, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122443687371.0, 'commisionAsset': 'USDT', 'commision': 0.191008, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': -0.338}
20:57:10{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677239831298, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23852.5, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122450701868.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
20:57:10{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677239831298, 'symbol': 'BTCUSDT', 'side': 'SELL', 'orderType': 'LIMIT', 'originQuantity': 0.01, 'originPrice': 23852.5, 'averagePrice': 23854.9, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122450701868.0, 'commisionAsset': 'USDT', 'commision': 0.0954196, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'LIMIT', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:10:03{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677240604319, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'MARKET', 'originQuantity': 0.01, 'originPrice': 0.0, 'averagePrice': 0.0, 'stopPrice': 0.0, 'execType': 'NEW', 'orderStatus': 'NEW', 'orderLastFilledQuantity': 122453788583.0, 'commisionAsset': None, 'commision': None, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'MARKET', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': 0.0}
21:10:03{'stream': 'userData', 'eventType': 'ORDER_TRADE_UPDATE', 'eventTime': 1677240604319, 'symbol': 'BTCUSDT', 'side': 'BUY', 'orderType': 'MARKET', 'originQuantity': 0.01, 'originPrice': 0.0, 'averagePrice': 23921.1, 'stopPrice': 0.0, 'execType': 'TRADE', 'orderStatus': 'FILLED', 'orderLastFilledQuantity': 122453788583.0, 'commisionAsset': 'USDT', 'commision': 0.0956844, 'stopPriceWorkingType': 'CONTRACT_PRICE', 'originOrderType': 'MARKET', 'position': 'BOTH', 'isCloseAll': False, 'activationPrice': None, 'callbackRate': None, 'realizedProfit': -0.662}
