N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
135,현대차우,"88,700",0,0.00%,"5,000","21,604","24,357",58.40,"35,825",4.49,N/A,
136,SK케미칼,"122,000","4,000",+3.39%,"5,000","21,497","17,621",17.88,"66,608",58.15,30.49,
137,현대로템,"19,400",400,+2.11%,"5,000","21,174","109,142",3.10,"609,540",67.60,2.84,
138,LG화학우,"274,000",0,0.00%,"5,000","21,067","7,689",72.02,"5,897",7.14,N/A,
139,효성티앤씨,"484,500","9,500",+2.00%,"5,000","20,968","4,328",13.05,"79,676",2.97,25.10,
140,휠라홀딩스,"34,500","2,400",+7.48%,"1,000","20,960","60,752",43.01,"1,268,728",8.91,10.94,
141,KODEX 200선물인버스2X,"2,555",65,-2.48%,0,"20,839","815,600",5.93,"232,193,627",N/A,N/A,
142,효성첨단소재,"459,500","19,500",+4.43%,"5,000","20,585","4,480",8.86,"53,756",9.59,0.03,
143,KODEX 레버리지,"19,655",430,+2.24%,0,"20,441","104,000",2.12,"25,775,521",N/A,N/A,
144,롯데정밀화학,"79,200",600,+0.76%,"5,000","20,434","25,800",20.65,"112,307",4.80,12.65,
145,TIGER 200,"36,355",415,+1.15%,0,"20,377","56,050",1.47,"1,066,972",N/A,N/A,
146,TIGER 미국나스닥100,"74,555","3,705",+5.23%,0,"19,794","26,550",0.07,"393,192",N/A,N/A,
147,대웅제약,"167,500","4,000",+2.45%,"2,500","19,408","11,587",6.91,"48,319",168.17,2.38,
148,솔루스첨단소재,"62,900","2,300",+3.80%,100,"19,241","30,590",6.26,"314,075",-247.64,-5.10,
149,후성,"20,550","1,450",+7.59%,500,"19,031","92,607",6.55,"2,464,478",69.19,2.79,
150,농심,"312,500","13,000",-3.99%,"5,000","19,008","6,083",12.72,"49,595",17.81,7.50,
151,영원무역,"41,500",450,+1.10%,500,"18,389","44,311",28.45,"87,914",7.98,8.03,
152,효성,"85,500","2,000",+2.40%,"5,000","18,016","21,071",7.90,"74,634",4.65,-2.26,
153,현대백화점,"76,600",100,+0.13%,"5,000","17,926","23,402",18.18,"71,282",11.59,1.65,
154,KODEX MSCI Korea TR,"11,650",105,+0.91%,0,"17,417","149,500",3.80,"733,474",N/A,N/A,
155,두산,"105,000","9,400",+9.83%,"5,000","17,350","16,524",10.72,"128,803",-60.48,-34.34,
156,대웅,"29,600",300,+1.02%,500,"17,210","58,142",4.30,"72,361",16.30,15.10,
157,한샘,"73,100","1,300",+1.81%,"1,000","17,203","23,534",16.33,"43,315",21.51,10.83,
158,코오롱인더,"61,700","1,400",+2.32%,"5,000","16,979","27,519",20.08,"138,582",9.58,9.70,
159,현대위아,"62,400",600,+0.97%,"5,000","16,970","27,195",7.04,"159,643",46.50,1.96,
160,한미반도체,"33,350",150,+0.45%,200,"16,495","49,460",5.78,"249,420",19.83,21.03,
161,아이에스동서,"53,300",400,-0.74%,500,"16,466","30,893",4.04,"88,116",30.53,10.92,
162,한전KPS,"35,700",300,+0.85%,200,"16,065","45,000",7.12,"351,198",13.30,8.23,
163,오뚜기,"437,500","1,000",-0.23%,"5,000","16,065","3,672",11.61,"3,926",14.52,7.93,
164,JB금융지주,"8,140",0,0.00%,"5,000","16,034","196,983",42.03,"226,832",3.36,10.06,
165,KODEX 단기채권,"103,255",15,+0.01%,0,"15,680","15,186",0.00,"80,240",N/A,N/A,
166,DGB금융지주,"9,190",40,-0.43%,"5,000","15,544","169,146",50.17,"502,193",3.28,6.93,
167,동원시스템즈,"53,200","1,900",+3.70%,"5,000","15,528","29,188",13.13,"42,181",24.09,10.97,
168,신풍제약,"29,050","4,700",+19.30%,500,"15,392","52,985",10.80,"4,655,740","4,841.67",1.72,
169,LS,"47,800",250,+0.53%,"5,000","15,392","32,200",13.54,"66,940",6.01,3.94,
170,KODEX 삼성그룹,"8,885",115,+1.31%,0,"15,193","171,000",0.08,"145,069",N/A,N/A,
171,현대엘리베이,"37,050",600,+1.65%,"5,000","15,122","40,815",29.92,"85,806",23.87,9.78,
172,롯데칠성,"162,000","2,000",-1.22%,500,"15,032","9,279",9.69,"41,753",19.15,-1.00,
173,동국제강,"15,700",200,+1.29%,"5,000","14,983","95,433",22.66,"510,977",3.32,3.35,
174,일진하이솔루스,"40,700","1,150",+2.91%,500,"14,779","36,313",1.51,"123,613",75.93,34.27,
175,더존비즈온,"48,500",600,+1.25%,500,"14,736","30,383",37.44,"212,124",23.74,15.09,
176,케이카,"30,400",650,+2.18%,500,"14,618","48,087",17.79,"240,848",50.50,15.11,
177,일동제약,"58,500","12,200",+26.35%,"1,000","14,510","24,803",2.90,"19,530,370",-55.93,-5.13,
178,KODEX 종합채권(AA-이상)액티브,"106,425",105,-0.10%,0,"14,197","13,340",0.00,"8,590",N/A,N/A,
179,아시아나항공,"19,000",350,+1.88%,"5,000","14,138","74,412",7.51,"602,834",-3.27,-43.83,
180,LIG넥스원,"64,000","3,300",+5.44%,"5,000","14,080","22,000",5.64,"441,412",14.92,8.86,
181,롯데렌탈,"38,200",750,+2.00%,"5,000","13,994","36,634",1.79,"169,084",13.25,6.73,
182,TIGER MSCI Korea TR,"14,630",125,+0.86%,0,"13,986","95,600",8.37,"2,038",N/A,N/A,
183,TIGER 단기통안채,"100,645",5,0.00%,0,"13,868","13,779",0.86,"1,234,867",N/A,N/A,
184,티와이홀딩스,"26,450",250,+0.95%,500,"13,471","50,929",5.34,"46,339",2.28,N/A,
185,롯데리츠,"5,500",20,+0.36%,500,"13,363","242,969",9.58,"242,899",34.38,1.68,
186,NHN,"35,500","1,750",+5.19%,500,"13,319","37,518",19.24,"103,381",40.99,1.35,
187,ESR켄달스퀘어리츠,"6,200",100,+1.64%,"1,000","13,212","213,089",31.71,"219,800",48.06,1.34,
188,TIGER 미국S&P500,"12,900",365,+2.91%,0,"13,210","102,400",0.14,"2,905,100",N/A,N/A,
189,현대두산인프라코어,"6,600",130,+2.01%,"1,000","13,031","197,436",9.88,"813,636",5.65,6.47,
190,대한전선,"1,495",65,+4.55%,100,"12,804","856,473",1.74,"8,239,695",41.53,0.92,
191,LS ELECTRIC,"42,650","1,500",+3.65%,"5,000","12,795","30,000",17.66,"188,323",15.79,6.15,
192,PI첨단소재,"43,000","1,250",+2.99%,500,"12,628","29,366",12.24,"86,953",21.59,15.62,
193,한국앤컴퍼니,"13,250",200,+1.53%,500,"12,579","94,935",9.66,"54,396",5.09,5.08,
194,DL,"59,400",300,-0.50%,"5,000","12,448","20,956",12.28,"38,621",1.89,11.84,
195,대덕전자,"25,050","2,100",+9.15%,500,"12,379","49,417",10.89,"4,485,035",39.95,N/A,
196,롯데관광개발,"17,850",600,+3.48%,500,"12,366","69,276",5.39,"367,706",-6.25,-30.43,
197,명신산업,"23,550",650,+2.84%,500,"12,357","52,470",2.80,"255,784",-10.21,-67.39,
198,한일시멘트,"17,700",350,+2.02%,500,"12,259","69,262",2.59,"121,116",11.66,N/A,
199,TIGER 미국테크TOP10 INDXX,"11,155",595,+5.63%,0,"12,231","109,650",0.00,"1,659,491",N/A,N/A,
200,영풍,"652,000","8,000",-1.21%,"5,000","12,010","1,842",4.13,877,10.13,4.03,
